Year,Series,concept.REF_AREA,Units,Value
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.2
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.4
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.5
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.8
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,8.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,9.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,10.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,11.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,8.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,6.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,9.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG07,CL_UNIT_MEASURE.NUMBER,2.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,14.8
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,13.4
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,12.5
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.4
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.8
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.5
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,6.4
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,6.7
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,5.1
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,121.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,110.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,105.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,63.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,68.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG08,CL_UNIT_MEASURE.NUMBER,67.0
